ສະບາຍດີ,ສະບາຍດີ ມີຫຍັງໃຫ້ຊ່ວຍບໍ
ສາຂາການພັດທະນາເວັບໄຊປີ 3 ພາກຮຽນ 1ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 3 ພາກຮຽນ 1 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ການສ້າງເວັບດ້ວຍ ASP.NET 1, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 2, ການຄ້າດ້ວຍເອເລັກໂທຣນິກ (E-Commerce), ການພັດທະນາເວັບໄຊດ້ວຍພາສາ PHP 2 + Framework, ວິທີການຄົ້ນຄ້ວາ, ການບໍລິຫານເຄື່ອງແມ່ຂ່າຍ ແລະ ເວັບເຊີເວີ ແລະ ເວັບເທັກໂນໂລຢີ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊຂອງປີ 3 ພາກຮຽນ 2,"ລາຍວິຊາຮຽນຂອງປີ 3 ພາກຮຽນ 2 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ມະນຸດ​ສຳພັນ, ການພັດທະນາເວັບໄຊດ້ວຍພາສາ ASP.NET 2 + framework, Introduction to the Internet of Things (IOT), ການຂຽນໂປຣແກຣມເທິງມືຖື 2, ມາຊີນເລີນນິ່ງ (Machine Learning), ສຳມະນາ 1, ວິສະວະກຳຊອບແວ (Process and Tools) ແລະ ຄວາມປອດໄພຂອງເວັບໄຊ"
ຂໍເບິ່ງວິຊາຮຽນສາຂາການພັດທະນາເວັບໄຊຂອງປີ 3 ພາກຮຽນ 2,"ລາຍວິຊາຮຽນຂອງປີ 3 ພາກຮຽນ 2 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ມະນຸດ​ສຳພັນ, ການພັດທະນາເວັບໄຊດ້ວຍພາສາ ASP.NET 2 + framework, Introduction to the Internet of Things (IOT), ການຂຽນໂປຣແກຣມເທິງມືຖື 2, ມາຊີນເລີນນິ່ງ (Machine Learning), ສຳມະນາ 1, ວິສະວະກຳຊອບແວ (Process and Tools) ແລະ ຄວາມປອດໄພຂອງເວັບໄຊ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 3 ພາກຮຽນ 2ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 3 ພາກຮຽນ 2 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ມະນຸດ​ສຳພັນ, ການພັດທະນາເວັບໄຊດ້ວຍພາສາ ASP.NET 2 + framework, Introduction to the Internet of Things (IOT), ການຂຽນໂປຣແກຣມເທິງມືຖື 2, ມາຊີນເລີນນິ່ງ (Machine Learning), ສຳມະນາ 1, ວິສະວະກຳຊອບແວ (Process and Tools) ແລະ ຄວາມປອດໄພຂອງເວັບໄຊ"
ສາຂາການພັດທະນາເວັບໄຊປີ 3 ພາກຮຽນ 2ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 3 ພາກຮຽນ 2 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ມະນຸດ​ສຳພັນ, ການພັດທະນາເວັບໄຊດ້ວຍພາສາ ASP.NET 2 + framework, Introduction to the Internet of Things (IOT), ການຂຽນໂປຣແກຣມເທິງມືຖື 2, ມາຊີນເລີນນິ່ງ (Machine Learning), ສຳມະນາ 1, ວິສະວະກຳຊອບແວ (Process and Tools) ແລະ ຄວາມປອດໄພຂອງເວັບໄຊ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊຂອງປີ 4 ພາກຮຽນ 1,"ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 1 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ວິຊາການ​ເມືອງ, ປັນຍາປະດິດ, MOS, Data Mining, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 3, ການວິເຄາະ ແລະ ການອອກແບບລະບົບ, ສຳມະນາ 2 ແລະ ຍຸດທະສາດໃນການວາງແຜນລະບົບຂ່າວສານ"
ຂໍເບິ່ງວິຊາຮຽນສາຂາການພັດທະນາເວັບໄຊຂອງປີ 4 ພາກຮຽນ 1,"ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 1 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ວິຊາການ​ເມືອງ, ປັນຍາປະດິດ, MOS, Data Mining, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 3, ການວິເຄາະ ແລະ ການອອກແບບລະບົບ, ສຳມະນາ 2 ແລະ ຍຸດທະສາດໃນການວາງແຜນລະບົບຂ່າວສານ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 4 ພາກຮຽນ 1ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 1 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ວິຊາການ​ເມືອງ, ປັນຍາປະດິດ, MOS, Data Mining, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 3, ການວິເຄາະ ແລະ ການອອກແບບລະບົບ, ສຳມະນາ 2 ແລະ ຍຸດທະສາດໃນການວາງແຜນລະບົບຂ່າວສານ"
ສາຂາການພັດທະນາເວັບໄຊປີ 4 ພາກຮຽນ 1ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 1 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ວິຊາການ​ເມືອງ, ປັນຍາປະດິດ, MOS, Data Mining, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 3, ການວິເຄາະ ແລະ ການອອກແບບລະບົບ, ສຳມະນາ 2 ແລະ ຍຸດທະສາດໃນການວາງແຜນລະບົບຂ່າວສານ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊຂອງປີ 4 ພາກຮຽນ 2,ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 2 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ໂຄງການຈົບຊັ້ນ/ສອບເສັງ ແລະ ລົງເຝິກງານ/ບົດໂຄງການນ້ອຍ
ຂໍເບິ່ງວິຊາຮຽນສາຂາການພັດທະນາເວັບໄຊຂອງປີ 4 ພາກຮຽນ 2,ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 2 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ໂຄງການຈົບຊັ້ນ/ສອບເສັງ ແລະ ລົງເຝິກງານ/ບົດໂຄງການນ້ອຍ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 4 ພາກຮຽນ 2ຮຽນວິຊາຫຍັງແດ່,ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 2 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ໂຄງການຈົບຊັ້ນ/ສອບເສັງ ແລະ ລົງເຝິກງານ/ບົດໂຄງການນ້ອຍ
ສາຂາການພັດທະນາເວັບໄຊປີ 4 ພາກຮຽນ 2ຮຽນວິຊາຫຍັງແດ່,ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 2 ສາຂາການພັດທະນາເວັບໄຊ ແມ່ນມີ: ໂຄງການຈົບຊັ້ນ/ສອບເສັງ ແລະ ລົງເຝິກງານ/ບົດໂຄງການນ້ອຍ
ຖ້າຈະເຂົ້າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊຕ້ອງມີເງື່ອນໄຂໃດແດ່,"ຕ້ອງເປັນຜູ້ທີ່ມີໃບປະກາສະນີຍະບັດ ຈົບມັດທະຍົມຕອນປາຍ ຫຼືທຽບເທົ່າ, ຊັ້ນກາງ ຫຼື ທຽບເທົ່າ. ຖ້າເປັນພະນັກງານຕ້ອງມີໃບນຳສົ່ງ ແລະ ຂໍ້ຕົກລົງ ຕາມໂກຕາ ຫຼື ຮູບການອື່ນຂອງກະຊວງ ຫຼື ກົມກອງທີ່ກ່ຽວຂ້ອງມີສຸຂະພາບແຂງແຮງດີ"
ຖ້າຈະເຂົ້າຮຽນສາຂາການພັດທະນາເວັບໄຊຕ້ອງມີເງື່ອນໄຂໃດແດ່,"ຕ້ອງເປັນຜູ້ທີ່ມີໃບປະກາສະນີຍະບັດ ຈົບມັດທະຍົມຕອນປາຍ ຫຼືທຽບເທົ່າ, ຊັ້ນກາງ ຫຼື ທຽບເທົ່າ. ຖ້າເປັນພະນັກງານຕ້ອງມີໃບນຳສົ່ງ ແລະ ຂໍ້ຕົກລົງ ຕາມໂກຕາ ຫຼື ຮູບການອື່ນຂອງກະຊວງ ຫຼື ກົມກອງທີ່ກ່ຽວຂ້ອງມີສຸຂະພາບແຂງແຮງດີ"
ຖ້າຈະເຂົ້າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊຕ້ອງເຮັດແນວໃດ,ຖ້າຈະເຂົ້າຮຽນສາຂານີ້ແມ່ນຕ້ອງຜ່ານເງື່ອນໄຂທີ່ໄດ້ກຳນົດໄວ້ແລ້ວຍື່ນຄຳຮ້ອງເພື່ອສອບເສັງຄັດເລືອກເຂົ້າໃນແຕ່ລະຕົ້ນສົກຮຽນໂດຍມີຄະນະກຳມະການສອບເສັງຄັດເລືອກຈາກ ມ.ຊ ສົມທົບກັບກົມການສຶກສາຊັ້ນສູງກະຊວງສຶກສາທິການເພື່ອຄັດເລືອກ
ຖ້າຈະເຂົ້າຮຽນສາຂາການພັດທະນາເວັບໄຊຕ້ອງເຮັດແນວໃດ,ຖ້າຈະເຂົ້າຮຽນສາຂານີ້ແມ່ນຕ້ອງຜ່ານເງື່ອນໄຂທີ່ໄດ້ກຳນົດໄວ້ແລ້ວຍື່ນຄຳຮ້ອງເພື່ອສອບເສັງຄັດເລືອກເຂົ້າໃນແຕ່ລະຕົ້ນສົກຮຽນໂດຍມີຄະນະກຳມະການສອບເສັງຄັດເລືອກຈາກ ມ.ຊ ສົມທົບກັບກົມການສຶກສາຊັ້ນສູງກະຊວງສຶກສາທິການເພື່ອຄັດເລືອກ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊໄດ້ຮຽນເລກບໍ,ອີງຕາມແຜນການຈັດຕັ້ງການຮຽນ-ການສອນ ສາຂາການພັດທະນາເວັບໄຊ ຄະນິດສາດຖືວ່າເປັນໝວດວິຊາພື້ນຖານວິຊາສະເພາະ ສະນັ້ນ ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີຈຶ່ງມີການຮຽນ-ການສອນວິຊາຄະນິດສາດ
ສາຂາການພັດທະນາເວັບໄຊໄດ້ຮຽນເລກບໍ,ອີງຕາມແຜນການຈັດຕັ້ງການຮຽນ-ການສອນ ສາຂາການພັດທະນາເວັບໄຊ ຄະນິດສາດຖືວ່າເປັນໝວດວິຊາພື້ນຖານວິຊາສະເພາະ ສະນັ້ນ ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີຈຶ່ງມີການຮຽນ-ການສອນວິຊາຄະນິດສາດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊໄດ້ຮຽນພາສາໂປຣແກຣມບໍ,"ໂດຍ, ໃນສາຂາການພັດທະນາເວັບໄຊແມ່ນໄດ້ຮຽນພາສາໂປຣແກຣມຕ່າງໆເຊັ່ນ: JAVA, HTML, CSS, JavaScript, PHP, SQL, Dart ແລະ C# ເປັນຕົ້ນ"
ສາຂາການພັດທະນາເວັບໄຊໄດ້ຮຽນພາສາໂປຣແກຣມບໍ,"ໂດຍ, ໃນສາຂາການພັດທະນາເວັບໄຊແມ່ນໄດ້ຮຽນພາສາໂປຣແກຣມຕ່າງໆເຊັ່ນ: JAVA, HTML, CSS, JavaScript, PHP, SQL, Dart ແລະ C# ເປັນຕົ້ນ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊເທົ່າໃດ,"ຄ່າຮຽນສາຂາການພັດທະນາເວັບໄຊ ຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະແຕກຕ່າງກັນຕາມແຕ່ລະປີຮຽນ ເຊິ່ງຈະລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,280,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາເວັບໄຊເທົ່າໃດ,"ຄ່າຮຽນສາຂາການພັດທະນາເວັບໄຊ ຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະແຕກຕ່າງກັນຕາມແຕ່ລະປີຮຽນ ເຊິ່ງຈະລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,280,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊຄ່າຮຽນເທົ່າໃດ,"ຄ່າຮຽນສາຂາການພັດທະນາເວັບໄຊ ຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະແຕກຕ່າງກັນຕາມແຕ່ລະປີຮຽນ ເຊິ່ງຈະລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,280,000 ກີບ"
ສາຂາການພັດທະນາເວັບໄຊຄ່າຮຽນເທົ່າໃດ,"ຄ່າຮຽນສາຂາການພັດທະນາເວັບໄຊ ຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະແຕກຕ່າງກັນຕາມແຕ່ລະປີຮຽນ ເຊິ່ງຈະລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,280,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 1 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 1 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາເວັບໄຊປີ 1 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 1 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 1 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 1 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ສາຂາການພັດທະນາເວັບໄຊປີ 1 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 1 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 2 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 2 ໂດຍລວມແມ່ນ 1,710,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາເວັບໄຊປີ 2 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 2 ໂດຍລວມແມ່ນ 1,710,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 2 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 2 ໂດຍລວມແມ່ນ 1,710,000 ກີບ"
ສາຂາການພັດທະນາເວັບໄຊປີ 2 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 2 ໂດຍລວມແມ່ນ 1,710,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 3 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 3 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາເວັບໄຊປີ 3 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 3 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 3 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 3 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ສາຂາການພັດທະນາເວັບໄຊປີ 3 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 3 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 4 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 4 ໂດຍລວມແມ່ນ 1,290,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາເວັບໄຊປີ 4 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 4 ໂດຍລວມແມ່ນ 1,290,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 4 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 4 ໂດຍລວມແມ່ນ 1,290,000 ກີບ"
ສາຂາການພັດທະນາເວັບໄຊປີ 4 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 4 ໂດຍລວມແມ່ນ 1,290,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 1 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 1 ປະກອບມີ 38 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 19 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 19 ໜ່ວຍກິດ
ສາຂາການພັດທະນາເວັບໄຊປີ 1 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 1 ປະກອບມີ 38 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 19 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 19 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 2 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 2 ປະກອບມີ 40 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 20 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 20 ໜ່ວຍກິດ
ສາຂາການພັດທະນາເວັບໄຊປີ 2 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 2 ປະກອບມີ 40 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 20 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 20 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 3 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 3 ປະກອບມີ 38 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 19 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 19 ໜ່ວຍກິດ
ສາຂາການພັດທະນາເວັບໄຊປີ 3 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 3 ປະກອບມີ 38 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 19 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 19 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 4 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 4 ປະກອບມີ 28 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 19 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 9 ໜ່ວຍກິດ
ສາຂາການພັດທະນາເວັບໄຊປີ 4 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 4 ປະກອບມີ 28 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 19 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 9 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊເສຍຄ່າທຳນຽມຫຍັງແນ່,"ໃນສ່ວນນີ້ແມ່ນຈະຄືກັນໝົດຄ່າຮຽນຈະຕ່າງກັນແມ່ນຂຶ້ນຢູ່ກັບຄ່າໜ່ວຍກິດ ເຊິ່ງລາຍລະອຽດໃນການເສຍຄ່າຮຽນທັງໝົດແມ່ນມີຄ່າລົງທະບຽນ 210,000 ກີບ, ຄ່າໜ່ວຍກິດ 35,000 ກີບ ຕໍ່ໜ່ວຍກິດ, ຄ່າບັດຫໍສະໝຸດ 30,000 ກີບ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ 70,000 ກີບ"
ສາຂາການພັດທະນາເວັບໄຊເສຍຄ່າທຳນຽມຫຍັງແນ່,"ໃນສ່ວນນີ້ແມ່ນຈະຄືກັນໝົດຄ່າຮຽນຈະຕ່າງກັນແມ່ນຂຶ້ນຢູ່ກັບຄ່າໜ່ວຍກິດ ເຊິ່ງລາຍລະອຽດໃນການເສຍຄ່າຮຽນທັງໝົດແມ່ນມີຄ່າລົງທະບຽນ 210,000 ກີບ, ຄ່າໜ່ວຍກິດ 35,000 ກີບ ຕໍ່ໜ່ວຍກິດ, ຄ່າບັດຫໍສະໝຸດ 30,000 ກີບ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ 70,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປະກອບມີຈຳນວນໜ່ວຍກິດແຕກຕ່າງກັນໃນແຕ່ລະປີ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາເວັບໄຊເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປະກອບມີຈຳນວນໜ່ວຍກິດແຕກຕ່າງກັນໃນແຕ່ລະປີ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 1 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 1 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 38 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາເວັບໄຊປີ 1 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 1 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 38 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 2 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 2 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 40 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາເວັບໄຊປີ 2 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 2 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 40 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 3 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 3 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 38 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາເວັບໄຊປີ 3 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 3 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 38 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາເວັບໄຊປີ 4 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 4 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 28 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາເວັບໄຊປີ 4 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາເວັບໄຊ ປີ 4 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 28 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
